guid,sector
5272d87a-c7aa-4663-b2b8-7aeb91ec7fac,HS2I
2cbd3997-12d7-48ae-9f6a-9d8f80c96506,HS2I
7f1df7ee-779f-4293-9e9b-96eee278682e,HS2I
9a756ea0-954f-46fb-9a24-0f59ae19f1a6,HS2I
a28e2f2a-c476-40a2-8a08-b43210fc4bcb,HS3I
778e595f-f6bc-4de4-a162-2cc2052e8015,HS2I
21de1384-3c4b-402f-aa11-4cdffc77694f,HS2I
9189a3e6-afb4-4320-94c5-f541e1dc3762,HS3I
5e80e216-fe6c-4717-a249-b1caddd39c4e,HS2I
e0f8e8e4-5941-4ee6-bb87-a58deb7d563e,HS2I
fb6b1cc1-62f2-4a19-9a29-0c2d130db88c,HS2I
91fb8639-be7c-407c-8b55-7cd4e8db60f5,HS3I
cfac517a-eeda-4cf0-b138-745b466709bb,HS3I
f25dad60-7e01-41a4-a4d1-88e7150926ca,HS3I
18fd332a-7003-4148-8a7c-da91244589b7,HS2I
6893f926-d6d1-45f8-85a0-75398e0a4312,HS2I
ae6449c2-139b-4e89-a0ab-02bfc7d4031e,HS2I
9439cc3c-e6bb-4d5d-ae56-a6596889dfe9,HS3I
04956436-b43d-43d4-98f2-f4bd995f0f8c,HS2I
b8da3a6d-fb97-4518-b396-b93d8ddb323b,HS3I
3bd71ab9-0b48-4df7-9147-de1c01e248c6,HS2I
e3e55cba-93d5-4378-9b70-47761a8c5496,HS2I
2245d934-0f98-4b2e-91f1-8ff03ff27cbd,HS2I
318e7d51-ca26-48c1-a81b-cba85f94f885,HS2I
fac1b44c-e928-49eb-bf09-862dbbd6f667,HS2I
91730b43-9e37-4646-8c62-d46dfff0ab6f,HS3I
e59ca97d-c183-4fc8-a5fd-9c5e37b202ae,HS3I
fcd4751b-dccf-42ce-82b0-a60c40dc6019,HS3I
64c3a7b3-ff0f-4a82-b43d-4a25ef887252,HS2I
883e9fc8-d229-4959-b10d-f509b391cb1f,HS3I
087a1a51-9392-4e23-96df-cc43bfa433d4,HS2I
ce7a8c5a-8c58-4bd6-96f2-2bf079642f93,HS3I
bc623233-8a33-413b-8a4b-31b3e2ec6b1c,HS2I
7cee84fd-ba82-4d1b-b1bf-e770265881b4,HS2I
8788e48f-37a2-4b77-8599-1b84d82aba59,HS3I
deaf47db-d35b-4834-9fcb-c8a67ab57e84,HS3I
49543b03-f118-41bd-adc2-a99f0d398b90,HS2I
9c7916ba-6e3f-47c3-9f93-c2fdb1484c57,HS2I
a9c8ac9b-589a-4d60-8bf2-71f76cd62944,HS3I
