guid,sector
024945e1-4364-4968-a4af-c857e2955182,HS4
9c2ed123-8d9a-44bc-a226-657d1b15477c,HS2
10010c29-9d3b-4906-843f-a289bcdf0de1,HS3
00096584-3d26-4ccf-a01b-a78d7ef5b37c,HS3
dc50c180-da8b-434e-a83c-1f3aebf9bfeb,HS2
a4230c3b-5573-4136-a100-0de23abd9023,HS2
e2673cc5-1fbc-4825-bb82-bf3136752439,HS4
a0e2551e-ccb7-46da-a0c0-27016c58d8a5,HS4
6954c9da-4640-4357-9638-2e23b8b50ed4,HS3
902f1076-f013-44f3-a0b4-1f5e1ed7ac4d,HS2
853b8dfb-b2b9-414e-8003-a50283be2500,HS3
66344a0f-33d0-4fbe-81f7-dac01e766226,HS3
e6b4f648-61dc-4597-9ce3-3010504acedc,UTIL_CONS
0d4fe9a1-0a54-4d36-93cd-d03f8e67086d,HS1
5ea23564-ba88-4762-88b9-cf56dfbb56d0,RETAIL
5ba55c1c-4e30-4793-9ea9-ee6ef63884e3,HS2
3cb14d1d-6eb9-450d-9894-46eadaf4b9bf,HS2
c6b88fd5-a1b4-4e79-8c0a-55d3427f213e,HS2
65e90b0a-2829-4f1b-bef6-de780e75fb50,HS2
14a568fb-a909-4378-bff4-537302e443c6,HS3
3e08eb9a-4526-42df-b3ee-cd4d8a181073,HS2
13a94790-8463-476c-9ec5-09cda02ad7dc,HS3
0e206035-b91e-45a8-a72e-32edcc627b45,HS2
81bc4965-25eb-4abf-82ca-b2cc018d7f45,HS4
78db5d9d-b4a6-4803-b1c7-6edb6f2e52ce,HS3
647daabc-119a-469b-8c5e-7616164d29d7,HS1
705c3c27-9a58-47d1-b901-44f781f42e88,HS2
80d9e911-f208-432b-bd12-fec5670660a1,HS2
7e6fb9f9-9264-497f-877f-6f5353dd37f5,HS3
a93f44e5-2b6e-4b53-bf6e-8c36af5bdce7,HS3
d3b075df-12f5-4e71-8237-4b6d249d6e2c,HS3
3f1b6193-98d4-4942-bc9c-104f42ff1a0e,HS2
152ca126-f043-4ac3-a7dc-eae40676f541,OTHER
1b499d69-7904-44ac-a253-19db3e1eb3d6,HS3
f5e1cff6-d5d3-4746-8cfd-43c1c51285ec,HS4
b2dce369-15ce-492f-832e-9441c3416fa9,HS3
c01384eb-3121-4281-8432-322cefc62895,HS2
1ffcbacc-3b77-4cbe-bfdb-07a034aeb80a,HS3
18cfcb6c-5e0f-410f-9b61-f91324d68491,HS2
7c5ca6bb-109d-4376-b682-caa829cd63c2,HS2
eec1e203-42f4-4980-8fb8-e6684c27d045,HS3
2ab53b44-a0b9-4f68-b49b-0ddfddbc2cdf,HS3
17184ece-b9d7-43cf-8572-2b678150b763,HS3
c493c080-8eda-4eab-84e4-892a85b143af,HS3
70bd2e93-0ef5-4b05-b12d-9d054e4984ce,HS2
58b92b70-74ea-4a4a-a665-5a0c2bc2db55,HS3
81bc0135-f0af-48f7-8567-5ad89a4a1d51,HS4
15cfd1d0-9738-4200-b3cb-0b4861212440,HS2
e79f24b8-822d-4985-9b5d-01d2a3d1e3fa,HS2
