guid,appr_bldg
ea9246aa-5d7e-42b9-9acb-f9a11bf5a8cd,1.3166497
a0a2c198-afa3-4527-b303-1f0606b1b7b7,2.363349
2ba1b880-5f04-4485-ba49-5395fe350403,0.94297099
e71e00d7-9670-46fd-8b07-3be82892ec1f,0.17685664
71b6453d-64fa-4a9f-8f20-c4450812f26b,0.37483546
69b5b40b-2701-47c1-ac17-5246138942da,0.32227218
20c4a9f8-6853-4c37-b50d-96e0e3c5ae19,0.13688809
d4091bc0-aa32-4349-8215-4d9eb9b636cc,0.67570639
2c7b58c0-1420-4c46-b748-c08f5291e8dc,0.82411015
7903eb03-0c17-4a2f-a264-935a76cb6e9a,2.0557501
70e8bd93-e33d-4c35-8a41-92d4db10d271,0.14848702
2d64ba9b-2688-4ff9-93be-27667d67c4ad,0.12198835
4cc582cd-ad98-45c4-b1c6-c9413a83a568,0.29721862
024945e1-4364-4968-a4af-c857e2955182,0.25675112
9c2ed123-8d9a-44bc-a226-657d1b15477c,0.1666428
10010c29-9d3b-4906-843f-a289bcdf0de1,0.19224915
00096584-3d26-4ccf-a01b-a78d7ef5b37c,0.19303769
dc50c180-da8b-434e-a83c-1f3aebf9bfeb,0.14200492
a4230c3b-5573-4136-a100-0de23abd9023,0.17035586
e2673cc5-1fbc-4825-bb82-bf3136752439,0.26467258
a0e2551e-ccb7-46da-a0c0-27016c58d8a5,0.26499712
6954c9da-4640-4357-9638-2e23b8b50ed4,0.18429072
902f1076-f013-44f3-a0b4-1f5e1ed7ac4d,0.15486182
853b8dfb-b2b9-414e-8003-a50283be2500,0.21163417
66344a0f-33d0-4fbe-81f7-dac01e766226,0.18010107
e6b4f648-61dc-4597-9ce3-3010504acedc,0.3350859
0d4fe9a1-0a54-4d36-93cd-d03f8e67086d,0.12957512
5ea23564-ba88-4762-88b9-cf56dfbb56d0,0.19019513
5ba55c1c-4e30-4793-9ea9-ee6ef63884e3,0.14162025
3cb14d1d-6eb9-450d-9894-46eadaf4b9bf,0.14333504
c6b88fd5-a1b4-4e79-8c0a-55d3427f213e,0.17630666
65e90b0a-2829-4f1b-bef6-de780e75fb50,0.150646
14a568fb-a909-4378-bff4-537302e443c6,0.22222516
3e08eb9a-4526-42df-b3ee-cd4d8a181073,0.16330367
13a94790-8463-476c-9ec5-09cda02ad7dc,0.21430446
0e206035-b91e-45a8-a72e-32edcc627b45,0.14498258
81bc4965-25eb-4abf-82ca-b2cc018d7f45,0.25918251
78db5d9d-b4a6-4803-b1c7-6edb6f2e52ce,0.23452824
647daabc-119a-469b-8c5e-7616164d29d7,0.11322147
705c3c27-9a58-47d1-b901-44f781f42e88,0.14627489
80d9e911-f208-432b-bd12-fec5670660a1,0.16913509
7e6fb9f9-9264-497f-877f-6f5353dd37f5,0.22023626
a93f44e5-2b6e-4b53-bf6e-8c36af5bdce7,0.19814764
d3b075df-12f5-4e71-8237-4b6d249d6e2c,0.19859146
3f1b6193-98d4-4942-bc9c-104f42ff1a0e,0.13892174
152ca126-f043-4ac3-a7dc-eae40676f541,1.3931701
1b499d69-7904-44ac-a253-19db3e1eb3d6,0.18886055
f5e1cff6-d5d3-4746-8cfd-43c1c51285ec,0.25168806
b2dce369-15ce-492f-832e-9441c3416fa9,0.22379956
c01384eb-3121-4281-8432-322cefc62895,0.17285128
1ffcbacc-3b77-4cbe-bfdb-07a034aeb80a,0.22461835
18cfcb6c-5e0f-410f-9b61-f91324d68491,0.15186386
7c5ca6bb-109d-4376-b682-caa829cd63c2,0.15002146
eec1e203-42f4-4980-8fb8-e6684c27d045,0.1904823
2ab53b44-a0b9-4f68-b49b-0ddfddbc2cdf,0.20840956
17184ece-b9d7-43cf-8572-2b678150b763,0.21550807
c493c080-8eda-4eab-84e4-892a85b143af,0.20214607
70bd2e93-0ef5-4b05-b12d-9d054e4984ce,0.13604532
58b92b70-74ea-4a4a-a665-5a0c2bc2db55,0.20704107
81bc0135-f0af-48f7-8567-5ad89a4a1d51,0.33962867
15cfd1d0-9738-4200-b3cb-0b4861212440,0.15095085
e79f24b8-822d-4985-9b5d-01d2a3d1e3fa,0.1614252
81a5249d-2c2e-4268-a1f0-5e01caab8c31,0.14672142
3b67a2d9-50a5-4574-a43d-1e4737f9428f,0.124755
b6d4beaf-38cd-4067-a17a-205006aa0ebc,0.19017532
955818d0-d7f9-4b11-8dd4-256d43162995,0.16097605
e9fd2c2c-ba5d-43fa-98a4-0a0c21f23fa0,0.2517536
8190a9ee-3f0f-4f5e-a090-accf438120eb,0.27457267
c382a996-8114-41f0-871c-c1aa567f2d4f,0.19747183
dfdd5327-2431-4b55-9ae7-7784f79cd53d,0.17029874
120827eb-b4c1-4926-818a-5f4dc0685ea4,0.20888513
ba2b5843-540a-4e6c-994a-61a66196321f,0.37552169
2d61a135-b0eb-4a90-94df-9c50ce690ea3,0.21089059
cfe168d2-9ca1-485b-ac87-baa7faf7eb99,0.10370271
93e3fb38-185e-43d1-8802-24232a86e038,0.41777694
