,L1A,L2A,L3A,L1B,L2B,L3B,L1C,L2C,L3C,L1D,L2D,L3D,L1E,L2E,L3E,L1F,L2F,L3F,L1G,L2G,L3G,L1H,L2H,L3H
HH1C,0.11924510221371700,0.00000000000000000,0.00000000000000000,0.11485246224650000,0.00000000000000000,0.00000000000000000,0.12273141115018900,0.00000000000000000,0.00000000000000000,0.07539728198243280,0.00000000000000000,0.00000000000000000,0.05154486762866440,0.00000000000000000,0.00000000000000000,0.05477815914999020,0.00000000000000000,0.00000000000000000,0.0840323818797581,0.0000000000000000,0.0000000000000000,0.1513383807692950,0.0000000000000000,0.0000000000000000
HH2C,0.05887712846259160,0.23234598228763700,0.00000000000000000,0.03731924026312230,0.07727161280676990,0.00000000000000000,0.04301253693903280,0.08892156003522660,0.00000000000000000,0.02083526979128040,0.05195868231846900,0.00000000000000000,0.02073594056069850,0.05498160294876130,0.00000000000000000,0.01517411140267720,0.04007036106449040,0.00000000000000000,0.0365118753517459,0.0909226111808937,0.0000000000000000,0.0405877898767323,0.1055414795429410,0.0000000000000000
HH3C,0.07096696829905190,0.19406668207586800,0.13805281510611100,0.05632953167105270,0.06706118631729640,0.02460264125624860,0.06211399680501980,0.08419012718642750,0.03085172228553810,0.03466643171911000,0.05560889920210110,0.02789045005810310,0.02776177220317150,0.04810771505259330,0.02446770009510850,0.02526847086432600,0.03647047923870930,0.02043063606337830,0.0469987828731868,0.0750468929945108,0.0367855690046869,0.0688703257377895,0.1221759630418250,0.0884121652068453
HH4C,0.03403690027598780,0.19737225658041700,0.31844357650224100,0.03812277510446350,0.06967120162530340,0.05381566838022940,0.03937850721310670,0.08465980505657360,0.06873089342190010,0.02535843721865590,0.05374637179495060,0.05256159145311600,0.01616112746481180,0.04963527294135570,0.05403506736710600,0.01941300762346930,0.03875092742635600,0.04460333379151080,0.0266259287388053,0.0784322176836556,0.0824473612855562,0.0521119458385452,0.1175794731139830,0.1814428337137240
HH5C,0.03528618006292030,0.10450318663111500,0.53901575629714900,0.02990480996999740,0.03008097246453000,0.08536350399583250,0.03238960727854340,0.03167740132782490,0.10960665190507600,0.01855197211231380,0.01551479865343140,0.07144387524861560,0.01432876025332890,0.02151910201970470,0.08629262123368040,0.01394157725313710,0.01258834219459210,0.07014791151651970,0.0243961675231960,0.0386373671419891,0.1347855075351670,0.0373757040856210,0.0238671069180136,0.2613852441170530
HH1D,0.13283607331083100,0.00000000000000000,0.00000000000000000,0.09598929695956720,0.00000000000000000,0.00000000000000000,0.11268673217791000,0.00000000000000000,0.00000000000000000,0.16662942688517300,0.00000000000000000,0.00000000000000000,0.07598043485857920,0.00000000000000000,0.00000000000000000,0.07455809307263190,0.00000000000000000,0.00000000000000000,0.0887398139741014,0.0000000000000000,0.0000000000000000,0.0961071471602137,0.0000000000000000,0.0000000000000000
HH2D,0.07704140741317610,0.16737639696410500,0.00000000000000000,0.04883154976308420,0.05983787373210610,0.00000000000000000,0.06516140293092760,0.07927927531106640,0.00000000000000000,0.08872412522782700,0.10225619095541600,0.00000000000000000,0.04087830429964150,0.05471570959103090,0.00000000000000000,0.02994486729192380,0.04436101184671890,0.00000000000000000,0.0449060678500659,0.0777281227071634,0.0000000000000000,0.0459604624654172,0.0708748840595527,0.0000000000000000
HH3D,0.05441829373471530,0.17151665803750100,0.10660250251648900,0.03576881180092090,0.06848557166230150,0.01981605792629100,0.04323832874162630,0.09173451200202740,0.02380485173308850,0.06159062834224960,0.12615901805472400,0.02651810701036200,0.02949265137272650,0.06136355691584490,0.01982153710671980,0.02488614161673060,0.05359140562074330,0.01897059931073770,0.0339917457765494,0.0841238198630295,0.0365176346781157,0.0324417066510321,0.1016342786259060,0.0536921659152111
HH4D,0.01494731737428110,0.09753219671547410,0.40879556346828000,0.01078676585601560,0.03463667340767690,0.07178459892041470,0.01266296700311780,0.04664382699908860,0.08278124836774970,0.01869504179837360,0.06165825032398230,0.09394150439124460,0.00854309374530219,0.03219168948439450,0.06947619927346580,0.00836903222430593,0.02575049720839880,0.06707905255910810,0.0099777830589531,0.0448517597781924,0.1342470922849630,0.0107829551578651,0.0418846798029879,0.1632409146393880
HH5D,0.04269547783580140,0.08559070481599760,0.52122598093262000,0.02839985626656970,0.02863387178813920,0.09350727008027010,0.03331145301517200,0.03898489297150110,0.10645203737445200,0.04814798592979940,0.05108253122467730,0.13567515618882800,0.02330122633476180,0.02733398585667180,0.08993316081200320,0.02045495922309240,0.02072981756201520,0.08537654448405570,0.0272226021528879,0.0380220492904027,0.1736847305123370,0.0255271751158355,0.0308494487953470,0.2034474547690570
