dummy,IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,IL1,IL2,IL3,IL4,ML1,ML2,ML3,ML4,KAP,INVES,HS1I,HS2I,HS3I,HS1M,HS2M,HS3M,IHH1,IHH2,IHH3,IHH4,IHH5,MHH1,MHH2,MHH3,MHH4,MHH5,IUSSOC1,IUSSOC2,IUSSOC3,IUSSOC4,MUSSOC1,MUSSOC2,MUSSOC3,MUSSOC4,PROTAX,TXSTX,COUNTYSTX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
HS1I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66361457,34.92031087,85.71203279,158.8336618,181.8088795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS2I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.096282731,23.24751032,57.06110048,105.7403872,121.0356866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS3I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.512399801,16.6438408,40.85236908,118.7891362,139.9414739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS1M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.54528641,154.1938879,378.7779227,701.7298819,803.2988847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.87122262,68.43436598,168.1093028,311.4419139,356.5202915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.47640844,97.98990744,300.8907656,636.2710383,745.9208546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.493732776,0,0,0,0.424415795,0,0,0,1.756457298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.251189772,0,0,0,0.214161041,0,0,0,0,0,0,0,0,0,0,0,0,3.138167898,0,0,0,91.07223701
IHH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.058424439,17.16272135,0,0,0.528370586,2.960482396,0,0,10.29695637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.078289494,0.615923011,0,0,0.186892181,0.106476521,0,0,0,0,0,0,0,0,0,0,0,3.926020176,21.95213156,0,0,151.2720347
IHH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59670882,28.96809727,49.92375523,0,0.618255484,4.96027333,8.559822689,0,42.33963353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.229099359,5.484915865,0,0,0.381556766,0.942342722,0,0,0,0,0,0,0,0,0,0,0,4.581460306,36.83449846,60.67471005,0,291.405417
IHH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.015651445,21.50219907,143.1166542,79.97874962,0.693229885,3.731238331,23.5631195,15.63577657,122.1040569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14924079,8.505256504,0,0,0.375752986,1.461893167,0,0,0,0,0,0,0,0,0,0,0,5.111108896,27.79237193,165.5091203,120.6596048,297.7963106
